id,name,group,frequency,author,date,goodreads,wikipedia,images
135,Contacting Aliens,1,2,David Brin,2002,https://www.goodreads.com/book/show/101888.Contacting_Aliens,https://www.davidbrin.com/contactingaliens.html,book-covers-img\contacting_aliens.jpg
136,Altered Carbon,1,5,Richard Morgan,2002,https://www.goodreads.com/book/show/40792913-altered-carbon,https://en.wikipedia.org/wiki/Altered_Carbon,book-covers-img\altered_carbom.jpg
137,The Time Traveler's Wife,1,3,Audrey Niffenegger,2003,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,https://en.wikipedia.org/wiki/The_Time_Traveler%27s_Wife,book-covers-img\TimeTravellersWife.jpg
138,Oryx and Crake,1,2,Margaret Atwood,2003,https://www.goodreads.com/book/show/46756.Oryx_and_Crake,https://en.wikipedia.org/wiki/Oryx_and_Crake,book-covers-img\OryxAndCrake.jpg
139,Cloud Atlas: A Novel,1,4,David Mitchell,2004,https://www.goodreads.com/book/show/49628.Cloud_Atlas,https://en.wikipedia.org/wiki/Cloud_Atlas_(novel),book-covers-img\Cloud_atlas.jpg
140,"Air: Or, Have Not Have",1,2,Geoff Ryman,2004,https://www.goodreads.com/book/show/1165179.Air,"https://en.wikipedia.org/wiki/Air_(novel)#:~:text=Air%2C%20also%20known%20as%20Air,%2C%20the%20James%20Tiptree%2C%20Jr.&text=Dick%20Award%20in%202004%2C%20the,Campbell%20Memorial%20Award%20in%202006.",book-covers-img\GeoffRyman_Air.jpg
141,River of Gods,1,2,Ian McDonald,2004,https://www.goodreads.com/book/show/278280.River_of_Gods,https://en.wikipedia.org/wiki/River_of_Gods,book-covers-img\Mcdonald-river_of_gods.jpg
142,Her Smoke Rose Up Forever,1,2,James Tiptree aka Alice Bradley,2004,https://www.goodreads.com/book/show/27059.Her_Smoke_Rose_Up_Forever,https://en.wikipedia.org/wiki/Her_Smoke_Rose_Up_Forever,book-covers-img\Her_smoke_rose_up_forever.jpg
143,Sarah Canary,1,3,Karen Joy Fowler,2004,https://www.goodreads.com/book/show/119990.Sarah_Canary,https://en.wikipedia.org/wiki/Karen_Joy_Fowler#Writing_career,book-covers-img\sarah_camary.jpg
144,Pandora's Star,1,3,Peter F. Hamilton,2004,https://www.goodreads.com/book/show/45252.Pandora_s_Star,https://en.wikipedia.org/wiki/Commonwealth_Saga,book-covers-img\Pandora's_Star.jpg
145,Jonathan Strange and Mr. Norrell,1,3,Susanna Clarke,2004,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,https://en.wikipedia.org/wiki/Jonathan_Strange_%26_Mr_Norrell,book-covers-img\Jonathan_strange_and_mr_norrell_cover.jpg
146,Old Man's War,1,5,John Scalzi,2005,https://www.goodreads.com/book/show/36510196-old-man-s-war,https://en.wikipedia.org/wiki/Old_Man%27s_War,book-covers-img\OldMansWar(1stEd).jpg
147,Never Let Me Go,1,2,Kazuo Ishiguro,2005,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,https://en.wikipedia.org/wiki/Never_Let_Me_Go_(novel),book-covers-img\Never_Let_Me_Go.jpg
148,Spin Trilogy,1,3,Robert Charles Wilson,2005,https://www.goodreads.com/book/show/910863.Spin,https://en.wikipedia.org/wiki/Spin_(novel),book-covers-img\Spin(1stEd).jpg
149,The Road,1,5,Cormac McCarthy,2006,https://www.goodreads.com/book/show/6288.The_Road,https://en.wikipedia.org/wiki/The_Road,book-covers-img\The-road.jpg
150,World War Z,1,5,Max Brooks,2006,https://www.goodreads.com/book/show/8908.World_War_Z,https://en.wikipedia.org/wiki/World_War_Z,book-covers-img\World_War_Z.jpg
151,Blindsight,1,3,Peter Watts,2006,https://www.goodreads.com/book/show/48484.Blindsight,https://en.wikipedia.org/wiki/Blindsight_(Watts_novel),book-covers-img\Blindsight_(book_cover).jpg
152,The Yiddish Policeman's Union,1,2,Michael Chabon,2007,https://www.goodreads.com/book/show/16703.The_Yiddish_Policemen_s_Union,https://en.wikipedia.org/wiki/The_Yiddish_Policemen%27s_Union,book-covers-img\Yiddishpol.jpg
