id,name,group,frequency,author,date,goodreads,wikipedia,images
74,Ringworld,1,8,Larry Nivan,1970,https://www.goodreads.com/book/show/61179.Ringworld,https://en.wikipedia.org/wiki/Ringworld,book-covers-img\Ringworld(1stEd).jpg
75,The Chronicles of Amber,1,2,Roger Zelazny,1970,https://www.goodreads.com/book/show/92121.Nine_Princes_in_Amber,https://en.wikipedia.org/wiki/The_Chronicles_of_Amber,book-covers-img\Nine_princes_in_amber.jpg
76,The Fabulous Riverboat,1,2,Philip Jose Farmer,1971,https://www.goodreads.com/book/show/16536.The_Fabulous_Riverboat,https://en.wikipedia.org/wiki/The_Fabulous_Riverboat,book-covers-img\the_fabulous_river_boat.jpg
77,Roadside Picnic,1,4,Arkady and Boris Strugatsky,1972,https://www.goodreads.com/book/show/331256.Roadside_Picnic,https://en.wikipedia.org/wiki/Roadside_Picnic,book-covers-img\Roadside-picnic-macmillan-cover.jpg
78,Watership Down,1,2,Richard Adams,1972,https://www.goodreads.com/book/show/76620.Watership_Down,https://en.wikipedia.org/wiki/Watership_Down,book-covers-img\watership_down.jpg
79,Dying Inside,1,2,Robert Silverberg,1972,https://www.goodreads.com/book/show/968902.Dying_Inside,https://en.wikipedia.org/wiki/Dying_Inside,book-covers-img\DyingInside(1stEd).jpg
80,The Princess Bride,1,2,William Goldman,1973,https://www.goodreads.com/book/show/21787.The_Princess_Bride,https://en.wikipedia.org/wiki/The_Princess_Bride_(novel),book-covers-img\The_Princess_Bride_(First_Edition).jpg
81,Inverted World,1,2,Christopher Priest,1974,https://www.goodreads.com/book/show/142181.The_Inverted_World,https://en.wikipedia.org/wiki/Inverted_World,book-covers-img\Inverted_World_cover.jpg
82,The Forever War,1,8,Joe Haldeman,1974,https://www.goodreads.com/book/show/21611.The_Forever_War,https://en.wikipedia.org/wiki/The_Forever_War,book-covers-img\TheForeverWar(1stEd).jpg
83,The Mote in God's Eye,1,3,Larry Nivan,1974,https://www.goodreads.com/book/show/100365.The_Mote_in_God_s_Eye,https://en.wikipedia.org/wiki/The_Mote_in_God%27s_Eye,book-covers-img\the_mote_in_gods_eye.jpg
84,The Dispossessed,1,7,Ursula K. Le Guin,1974,https://www.goodreads.com/book/show/13651.The_Dispossessed,https://en.wikipedia.org/wiki/The_Dispossessed,book-covers-img\TheDispossed(1stEdHardcover).jpg
85,The Female Man,1,4,Joanna Russ,1975,https://www.goodreads.com/book/show/908311.The_Female_Man,https://en.wikipedia.org/wiki/The_Female_Man,book-covers-img\TheFemaleMan(1stEd).jpg
86,Dhalgren,1,6,Samuel R. Delany,1975,https://www.goodreads.com/book/show/40963358-dhalgren,https://en.wikipedia.org/wiki/Dhalgren,book-covers-img\Dhalgren-bantam-cover.jpg
87,Where Late the Sweet Birds Sang,1,2,Kate Wilhelm,1976,https://www.goodreads.com/book/show/968827.Where_Late_the_Sweet_Birds_Sang,https://en.wikipedia.org/wiki/Where_Late_the_Sweet_Birds_Sang,book-covers-img\Wherelate.jpg
88,Lucifer's Hammer,1,2,Larry Nivan,1977,https://www.goodreads.com/book/show/218467.Lucifer_s_Hammer,https://en.wikipedia.org/wiki/Lucifer%27s_Hammer,book-covers-img\LucifersHammer.jpg
89,The Chronicles of Thomas Covenant the Unbeliever,1,2,Stephen R. Donaldson,1977,https://www.goodreads.com/book/show/219205.Lord_Foul_s_Bane,https://en.wikipedia.org/wiki/The_Chronicles_of_Thomas_Covenant,book-covers-img\The_Chronicles_of_Thomas_Covenant_the_Unbeliever.jpg
90,The Sword of Shannara Trilogy,1,2,Terry Brooks,1977,https://www.goodreads.com/book/show/478894.The_Sword_of_Shannara_Trilogy,https://en.wikipedia.org/wiki/The_Sword_of_Shannara_Trilogy,book-covers-img\swords_of_shanaria.jpg
91,The Hitchhiker's Guide to the Galaxy,1,11,Douglas Adams,1979,https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,https://en.wikipedia.org/wiki/The_Hitchhiker%27s_Guide_to_the_Galaxy_(novel),book-covers-img\H2G2_UK_front_cover.jpg
92,The Mists of Avalon,1,3,Marion Zimmer Bradley,1979,https://www.goodreads.com/book/show/40605251-the-mists-of-avalon,https://en.wikipedia.org/wiki/The_Mists_of_Avalon,book-covers-img\Mists_of_Avalon-1st_ed.jpg
93,Kindred,1,4,Octavia E Butler,1979,https://www.goodreads.com/book/show/60931.Kindred,https://en.wikipedia.org/wiki/Kindred_(novel),book-covers-img\OctaviaEButler_Kindred.jpg
94,The Book of the New Sun,1,5,Gene Wolfe,1980,https://www.goodreads.com/book/show/968868.The_Book_of_the_New_Sun,https://en.wikipedia.org/wiki/The_Book_of_the_New_Sun,book-covers-img\Booknewsun.jpg
95,Wild Seed,1,2,Octavia E Butler,1980,https://www.goodreads.com/book/show/52318.Wild_Seed,https://en.wikipedia.org/wiki/Wild_Seed_(novel),book-covers-img\Wildseed1001.jpg
96,Discworld,1,3,Terry Pratchett,1983,https://www.goodreads.com/book/show/34497.The_Color_of_Magic,https://en.wikipedia.org/wiki/Discworld,book-covers-img\The_Colour_of_Magic_(cover_art).jpg
97,Neuromancer,1,10,William Gibson,1984,https://www.goodreads.com/book/show/6088007-neuromancer,https://en.wikipedia.org/wiki/Neuromancer,book-covers-img\Neuromancer_(Book).jpg
98,Schismatrix Plus,1,3,Bruce Sterling,1985,https://www.goodreads.com/book/show/161296.Schismatrix_Plus,https://en.wikipedia.org/wiki/Schismatrix,book-covers-img\Schismatrix(1stEd).jpg
99,Blood Music,1,3,Greg Bear,1985,https://www.goodreads.com/book/show/340819.Blood_Music,https://en.wikipedia.org/wiki/Blood_Music_(novel),book-covers-img\BloodMusic(1stEd).jpg
100,The Handmaid's Tale,1,6,Margaret Atwood,1985,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,https://en.wikipedia.org/wiki/The_Handmaid%27s_Tale,book-covers-img\TheHandmaidsTale(1stEd).jpg
101,Ender's Game,1,7,Orson Scott Card,1985,https://www.goodreads.com/book/show/375802.Ender_s_Game,https://en.wikipedia.org/wiki/Ender%27s_Game_(novel_series),book-covers-img\Ender's_game_cover_ISBN_0312932081.jpg
102,Howl's Moving Castle,1,2,Diana Wynne Jones,1986,https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle,https://en.wikipedia.org/wiki/Howl%27s_Moving_Castle,book-covers-img\Howl's_Moving_Castle_(Book_Cover).jpg
103,The Vorkosigan Saga,1,4,Lois McMaster Bujold,1986,https://www.goodreads.com/book/show/61903.Shards_of_Honour,https://en.wikipedia.org/wiki/Vorkosigan_Saga,book-covers-img\Shards_of_honor_cover.jpg
104,The Culture Series,1,3,Iain Banks,1987,https://www.goodreads.com/book/show/8935689-consider-phlebas,https://en.wikipedia.org/wiki/Culture_series,book-covers-img\Banksphlebas.jpg
105,Life During Wartime,1,2,Lucius Shepard,1987,https://www.goodreads.com/book/show/707304.Life_During_Wartime,https://en.wikipedia.org/wiki/Life_During_Wartime_(novel),book-covers-img\life_during_wartime.jpg
